Rainfall_mm,Slope_Angle,Soil_Saturation,Vegetation_Cover,Earthquake_Activity,Proximity_to_Water,Landslide,Soil_Type_Gravel,Soil_Type_Sand,Soil_Type_Silt
206.1810178,58.27500072,0.892797577,0.339463394,4.390046601,0.099974916,1,0,0,0
218.8873338,36.67980139,0.657146727,0.360355389,4.141028948,0.832442641,1,0,0,1
181.8508666,31.36387385,0.673361804,0.221696897,5.311891079,0.023062425,1,0,0,1
228.716199,38.99513401,0.618666265,0.489502208,4.581928351,0.785175961,1,0,0,1
179.9510673,42.99820534,0.836965828,0.118580165,5.51886213,0.450499252,1,0,0,0
151.9897442,57.97706145,0.825315287,0.254166601,4.039915631,0.684233027,1,0,0,1
216.0228741,29.27133822,0.798070764,0.113755408,6.273301005,0.182236088,1,0,0,1
263.3042115,39.88045561,0.683176665,0.327080131,4.078283231,0.775132823,1,0,0,1
290.9248412,56.31895727,0.839159992,0.468749694,4.221231255,0.52083426,1,0,0,0
294.1758037,54.5586847,0.898928044,0.315876853,5.466877914,0.28093451,1,0,0,0
231.4044125,29.93234787,0.920878792,0.129820258,6.467217342,0.394881518,1,0,0,1
194.0232262,25.4927938,0.679536962,0.384536781,5.975438851,0.074044652,1,0,0,0
203.7698593,29.05541708,0.94524137,0.349319251,4.827245062,0.370818252,1,0,0,1
250.3261879,48.30728248,0.836519115,0.209888717,5.403108565,0.119594246,1,0,0,0
256.9867181,51.6274767,0.824510879,0.408386872,5.234488991,0.71066289,1,0,0,0
166.6336231,40.37677757,0.680687681,0.458305438,5.188425558,0.508570691,1,0,0,0
286.1349711,33.72522802,0.764153169,0.402220455,4.571995414,0.598865467,1,0,0,1
254.21774,55.81637437,0.849741619,0.218253474,4.26373565,0.803672077,1,0,0,1
177.9855088,56.23956495,0.815736897,0.422976062,6.24022825,0.906828442,1,0,0,0
190.8198374,47.66915422,0.600208151,0.241027543,4.761953145,0.510747303,1,0,0,1
212.6116505,32.77377337,0.647946147,0.235046069,6.35727426,0.21876422,1,0,0,1
